nama,kalori,lemak,karbo,protein,lemak_jenuh,kolesterol_mg,sodium_mg,serat_g,gula_g,url,keyword
Mie Sedaap Tasty,590,22.0,84.0,15.0,0.42,29.0,236.0,1.2,0.4,https://www.fatsecret.co.id/kalori-gizi/mie-sedaap/mie-sedaap-tasty/1-bungkus,Mie Goreng
Mie Telor A1,210,0.0,46.0,7.0,0.42,29.0,236.0,1.2,0.4,https://www.fatsecret.co.id/kalori-gizi/gaga/mie-telor-a1/1-porsi,Mie Goreng
Mie Goreng,370,16.0,49.0,7.0,0.42,29.0,236.0,1.2,0.4,https://www.fatsecret.co.id/kalori-gizi/sarimi/mie-goreng/1-bungkus,Mie Goreng
Mie Goreng Ala Chef Devina,430,17.0,59.0,10.0,0.42,29.0,236.0,1.2,0.4,https://www.fatsecret.co.id/kalori-gizi/mie-sedaap/mie-goreng-ala-chef-devina/1-porsi,Mie Goreng
Okra Goreng Dicelup Adonan,173,12.94,13.12,2.37,0.03,0.0,8.0,3.2,1.2,https://www.fatsecret.co.id/kalori-gizi/umum/okra-goreng-dicelup-adonan,Mie Goreng
Mie Goreng Korea,260,5.0,44.0,8.0,0.42,29.0,236.0,1.2,0.4,https://www.fatsecret.co.id/kalori-gizi/fitmee/mie-goreng-korea/1-porsi,Mie Goreng
"Taco atau Tostada Salad dengan Daging Sapi, Kacang-kacangan dan Keju dalam Tortilla Goreng Tepung",404,24.94,27.96,18.12,6.82,44.0,762.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/taco-atau-tostada-salad-dengan-daging-sapi-kacang-kacangan-dan-keju-dalam-tortilla-goreng-tepung,Mie Goreng
Sate Ayam,34,2.22,0.73,2.93,0.0,87.0,404.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/sate-ayam,Sate Ayam
"Daging Ayam (Panggang, Bakar, Dimasak)",167,6.63,0.0,25.01,0.67,65.0,75.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/daging-ayam-(panggang-bakar-dimasak),Sate Ayam
Sate Ayam With Brown Rice Lontong,406,12.0,32.0,42.5,3.76,87.0,404.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/fit-solution/sate-ayam-with-brown-rice-lontong/1-porsi,Sate Ayam
Daging dan Kulit Ayam (Panggang),216,15.85,0.0,17.14,0.67,65.0,75.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/daging-dan-kulit-ayam-(panggang),Sate Ayam
Sate Taichan,36,2.35,1.3,2.49,0.0,87.0,404.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/sate-taichan,Sate Ayam
Sate Padang,161,6.63,6.79,18.01,0.0,87.0,384.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/sate-padang,Sate Ayam
Sate Maranggi,38,1.62,0.94,5.01,0.0,87.0,384.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/sate-maranggi,Sate Ayam
Sate Kambing,32,2.11,0.72,2.84,0.0,0.0,525.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/sate-kambing,Sate Ayam
Sate Lilit & Ayam Suwir Bali with Black Ink Rice and Tofu Crackers,617,20.0,45.0,64.0,3.76,87.0,404.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/healthy-go/sate-lilit-ayam-suwir-bali-with-black-ink-rice-and-tofu-crackers/1-box,Sate Ayam
Ayam Kecap,223,11.96,9.41,18.82,3.76,87.0,404.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/ayam-kecap,Sate Ayam
Sate Ayam 2 Rasa with Lontong Beras Merah,444,12.0,48.0,36.0,3.76,87.0,404.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/yellowfit/sate-ayam-2-rasa-with-lontong-beras-merah/1-serving,Sate Ayam
Daging Ayam (Panggang),111,2.7,0.0,20.33,0.67,65.0,75.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/daging-ayam-(panggang),Sate Ayam
Sate Padang,161,6.63,6.79,18.01,0.0,87.0,384.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/rumah-makan-sederhana/sate-padang/100g,Sate Ayam
"Daging Dada Ayam (Ayam Pedaging, Dipanggang, Dimasak)",165,3.57,0.0,31.02,2.17,83.0,393.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/daging-dada-ayam-(ayam-pedaging-dipanggang-dimasak),Sate Ayam
Sate Ayam Ambal with Ketupat Beras Merah + Tofu Isi,453,13.0,45.0,37.0,0.18,0.0,301.0,1.8,0.35,https://www.fatsecret.co.id/kalori-gizi/healthy-go/sate-ayam-ambal-with-ketupat-beras-merah-tofu-isi/1-serving,Sate Ayam
"Sandwich Ayam dengan Keju Ala Fajita, Selada dan Tomat Diatas Roti Pita",310,12.21,28.13,21.73,2.93,0.0,483.0,2.9,12.11,https://www.fatsecret.co.id/kalori-gizi/umum/sandwich-ayam-dengan-keju-ala-fajita-selada-dan-tomat-diatas-roti-pita,Sate Ayam
Lasagna dengan Ayam atau Kalkun,160,5.55,17.2,10.14,0.18,0.0,232.0,1.8,0.56,https://www.fatsecret.co.id/kalori-gizi/umum/lasagna-dengan-ayam-atau-kalkun,Sate Ayam
Koloke Ayam,261,9.52,17.9,24.09,4.15,107.0,420.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/koloke-ayam,Sate Ayam
"Salad Hijau Ayam atau Kalkun (Ayam dan/atau Kalkun, Sayurn Lainnya Kecuali Tomat dan Wortel)",65,1.3,1.74,11.08,0.0,100.0,288.0,0.7,0.98,https://www.fatsecret.co.id/kalori-gizi/umum/salad-hijau-ayam-atau-kalkun-(ayam-dan-atau-kalkun-sayurn-lainnya-kecuali-tomat-dan-wortel),Sate Ayam
"Sup Ayam (dan) Sayur (dengan Volume Air yang Sama, Kalengan)",75,2.84,8.58,3.62,0.65,7.0,1106.0,0.7,0.27,https://www.fatsecret.co.id/kalori-gizi/umum/sup-ayam-(dan)-sayur-(dengan-volume-air-yang-sama-kalengan),Sate Ayam
Ayam Rica-Rica,202,11.41,3.71,20.49,3.76,87.0,404.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/ayam-rica-rica,Sate Ayam
Minyak Ayam,900,99.8,0.0,0.0,3.76,87.0,404.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/minyak-ayam,Sate Ayam
Bakpao Ayam,239,2.61,41.9,12.46,0.0,87.0,404.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/bakpao-ayam,Sate Ayam
Flauta dengan Ayam,282,19.92,15.76,10.9,0.0,0.0,0.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/flauta-dengan-ayam,Sate Ayam
Sayap Ayam,81,5.4,0.0,7.46,1.51,23.0,113.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/sayap-ayam,Sate Ayam
Daging Dada dan Kulit Ayam (Ayam Pedaging),172,9.25,0.0,20.85,2.17,83.0,393.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/daging-dada-dan-kulit-ayam-(ayam-pedaging),Sate Ayam
Paha Ayam (Kulit tidak Dimakan),207,10.79,0.0,25.72,2.36,51.0,223.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/paha-ayam-(kulit-tidak-dimakan),Sate Ayam
Ayam Bakar (Kulit tidak Dimakan),188,7.35,0.0,28.69,3.76,87.0,404.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/ayam-bakar-(kulit-tidak-dimakan),Sate Ayam
Ayam atau Kalkun Manis dan Asam,89,2.43,11.23,6.09,0.0,87.0,404.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/ayam-atau-kalkun-manis-dan-asam,Sate Ayam
Ayam,237,13.49,0.0,27.07,3.76,87.0,404.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/ayam,Sate Ayam
Dimsum Ayam,43,2.07,3.04,3.0,0.0,87.0,404.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/dimsum-ayam,Sate Ayam
Dada Ayam Masak,110,1.24,0.0,23.09,0.0,83.0,393.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/dada-ayam-masak,Sate Ayam
Lean Sate Taichan,246,6.0,2.0,46.0,0.0,0.0,0.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/sisu-healthy-eatery/lean-sate-taichan/10-pcs,Sate Ayam
Dada Ayam Goreng tanpa Pelapis (Kulit Dimakan),216,9.1,0.0,31.67,2.17,83.0,393.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/dada-ayam-goreng-tanpa-pelapis-(kulit-dimakan),Sate Ayam
Ayam Saus Mentega,328,17.5,8.06,33.94,3.76,87.0,404.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/ayam-saus-mentega,Sate Ayam
Paha Ayam Panggang,245,15.36,0.0,24.85,0.67,65.0,75.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/paha-ayam-panggang,Sate Ayam
Nasi Goreng Ayam,329,11.96,41.82,12.45,1.14,52.0,415.0,0.7,0.76,https://www.fatsecret.co.id/kalori-gizi/umum/nasi-goreng-ayam,Sate Ayam
Sayap Ayam (Kulit tidak Dimakan),201,8.06,0.0,30.21,1.51,23.0,113.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/sayap-ayam-(kulit-tidak-dimakan),Sate Ayam
Salad Makaroni atau Pasta dengan Ayam,391,23.61,26.55,17.89,1.64,5.0,522.0,1.4,2.3,https://www.fatsecret.co.id/kalori-gizi/umum/salad-makaroni-atau-pasta-dengan-ayam,Sate Ayam
Fajita dengan Ayam dan Sayuran,352,12.11,41.52,19.67,0.0,0.0,0.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/fajita-dengan-ayam-dan-sayuran,Sate Ayam
Jantung Ayam,153,9.33,0.71,15.55,3.76,87.0,404.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/jantung-ayam,Sate Ayam
Salad Ayam atau Kalkun,417,31.5,2.55,29.48,5.66,100.0,288.0,0.7,0.98,https://www.fatsecret.co.id/kalori-gizi/umum/salad-ayam-atau-kalkun,Sate Ayam
Biskuit Rasa Sate,80,3.0,12.0,1.0,2.59,2.0,348.0,0.9,1.31,https://www.fatsecret.co.id/kalori-gizi/inafood/biskuit-rasa-sate/1-bungkus,Sate Ayam
Paha Ayam,135,8.45,0.0,13.67,2.36,51.0,223.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/paha-ayam,Sate Ayam
Sup Mie Ayam,65,2.39,7.4,3.18,0.65,7.0,1106.0,0.7,0.27,https://www.fatsecret.co.id/kalori-gizi/umum/sup-mie-ayam,Sate Ayam
Ayam (Dilapisi Tepung Roti dan Digoreng),297,18.82,16.32,15.59,4.15,107.0,420.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/ayam-(dilapisi-tepung-roti-dan-digoreng),Sate Ayam
"Daging Paha Ayam (Ayam Pedaging, Dipanggang, Dimasak)",209,10.88,0.0,25.94,0.67,65.0,75.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/daging-paha-ayam-(ayam-pedaging-dipanggang-dimasak),Sate Ayam
"Salad Hijau Ayam atau Kalkun Oriental (Ayam dan/atau Kalkun, Selada, Buah, Kacang-Kacangan)",102,4.76,5.09,9.75,0.0,100.0,288.0,0.7,0.98,https://www.fatsecret.co.id/kalori-gizi/umum/salad-hijau-ayam-atau-kalkun-oriental-(ayam-dan-atau-kalkun-selada-buah-kacang-kacangan),Sate Ayam
Ayam Nugget Rendah Lemak,35,1.14,2.48,3.47,0.64,9.0,92.0,0.1,0.14,https://www.fatsecret.co.id/kalori-gizi/umum/ayam-nugget-rendah-lemak,Sate Ayam
Bubur Ayam,372,12.39,36.12,27.56,0.05,0.0,317.0,0.5,0.19,https://www.fatsecret.co.id/kalori-gizi/umum/bubur-ayam,Sate Ayam
Gulai Ayam,202,14.88,4.0,14.33,0.05,0.0,1.0,0.7,0.06,https://www.fatsecret.co.id/kalori-gizi/umum/gulai-ayam,Sate Ayam
Kulit Ayam,454,40.68,0.0,20.36,0.67,65.0,75.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/kulit-ayam,Sate Ayam
Ayam Geprek,263,17.99,7.6,17.61,4.15,107.0,420.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/ayam-geprek,Sate Ayam
Sosis Ayam,49,2.83,0.43,5.05,1.5,7.0,146.0,0.0,0.33,https://www.fatsecret.co.id/kalori-gizi/umum/sosis-ayam,Sate Ayam
Kari Ayam,160,8.6,6.11,14.8,0.05,0.0,1.0,0.7,0.06,https://www.fatsecret.co.id/kalori-gizi/umum/kari-ayam,Sate Ayam
Usus Ayam,94,2.06,0.0,17.66,0.0,87.0,404.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/usus-ayam,Sate Ayam
Daging Paha Ayam (Ayam Pedaging),119,3.91,0.0,19.65,2.36,51.0,223.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/daging-paha-ayam-(ayam-pedaging),Sate Ayam
Ayam Penyet,199,8.53,5.29,25.05,4.15,107.0,420.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/ayam-penyet,Sate Ayam
Dada Ayam Goreng Ada Lapisan (Kulit tidak Dimakan),184,4.68,0.0,33.34,2.17,83.0,393.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/dada-ayam-goreng-ada-lapisan-(kulit-tidak-dimakan),Sate Ayam
Dada Ayam Rebus (Kulit tidak Dimakan),150,3.0,0.0,28.74,2.17,83.0,393.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/dada-ayam-rebus-(kulit-tidak-dimakan),Sate Ayam
Sup Ayam,75,2.46,9.35,4.05,0.65,7.0,1106.0,0.7,0.27,https://www.fatsecret.co.id/kalori-gizi/umum/sup-ayam,Sate Ayam
Ayam Betutu,425,34.8,6.32,22.6,3.76,87.0,404.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/ayam-betutu,Sate Ayam
Dada Ayam (Kulit tidak Dimakan),164,3.54,0.0,30.76,2.17,83.0,393.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/dada-ayam-(kulit-tidak-dimakan),Sate Ayam
Sate Usus,21,1.09,0.17,2.52,0.0,87.0,404.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/sate-usus,Sate Ayam
Rasa Ayam Snack Balls,60,3.0,8.0,1.0,0.0,0.0,525.0,4.4,4.12,https://www.fatsecret.co.id/kalori-gizi/chiki/rasa-ayam-snack-balls/1-serving,Sate Ayam
Ayam Suwir Kemangi,197,4.68,4.85,32.11,0.0,0.0,0.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/ayam-suwir-kemangi,Sate Ayam
Ayam Woku,117,5.14,0.68,16.11,3.76,87.0,404.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/ayam-woku,Sate Ayam
"Dada Ayam (Panggang Oven, Bebas Lemak, Iris)",79,0.39,2.17,16.79,0.0,83.0,393.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/dada-ayam-(panggang-oven-bebas-lemak-iris),Sate Ayam
Kaldu Ayam,12,0.29,1.51,0.95,0.07,0.0,792.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/kaldu-ayam,Sate Ayam
Ayam Panggang,237,13.49,0.0,27.07,3.76,87.0,404.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/ayam-panggang,Sate Ayam
Sayap Ayam Goreng tanpa Pelapis (Kulit Dimakan),89,6.33,0.0,7.56,1.51,23.0,113.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/sayap-ayam-goreng-tanpa-pelapis-(kulit-dimakan),Sate Ayam
Pepes Ayam,103,6.13,0.66,10.96,3.76,87.0,404.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/pepes-ayam,Sate Ayam
Salad Ayam,132,4.94,7.31,14.5,0.0,100.0,288.0,0.7,0.98,https://www.fatsecret.co.id/kalori-gizi/umum/salad-ayam,Sate Ayam
Bakso Ayam,45,1.57,1.94,5.43,1.39,21.0,134.0,0.1,0.42,https://www.fatsecret.co.id/kalori-gizi/umum/bakso-ayam,Sate Ayam
Paha Ayam Goreng tanpa Pelapis (Kulit Dimakan),119,6.79,0.0,13.6,4.15,107.0,420.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/paha-ayam-goreng-tanpa-pelapis-(kulit-dimakan),Sate Ayam
Soto Ayam,312,14.92,19.55,24.01,0.99,5.0,705.0,1.0,10.54,https://www.fatsecret.co.id/kalori-gizi/umum/soto-ayam,Sate Ayam
Ayam Cincang Buncis,144,3.69,19.23,9.23,0.03,0.0,6.0,3.4,1.4,https://www.fatsecret.co.id/kalori-gizi/umum/ayam-cincang-buncis,Sate Ayam
Sup Nasi Ayam,60,1.9,7.16,3.54,0.65,7.0,1106.0,0.7,0.27,https://www.fatsecret.co.id/kalori-gizi/umum/sup-nasi-ayam,Sate Ayam
Hati Ayam Goreng,172,6.43,1.11,25.78,3.76,87.0,404.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/hati-ayam-goreng,Sate Ayam
Sup Ayam Kental (Kalengan),170,6.34,16.51,12.14,0.65,7.0,1106.0,0.7,0.27,https://www.fatsecret.co.id/kalori-gizi/umum/sup-ayam-kental-(kalengan),Sate Ayam
Sayap Ayam Panggang (Kulit Dimakan),86,5.79,0.0,7.99,1.51,23.0,113.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/sayap-ayam-panggang-(kulit-dimakan),Sate Ayam
Paha Ayam Panggang atau Goreng dengan Kulit (Kulit/Lapisan Dimakan),211,12.58,7.49,16.03,4.15,107.0,420.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/paha-ayam-panggang-atau-goreng-dengan-kulit-(kulit-lapisan-dimakan),Sate Ayam
Lumpia Ayam,65,2.61,7.12,3.03,0.56,23.0,207.0,0.6,0.75,https://www.fatsecret.co.id/kalori-gizi/umum/lumpia-ayam,Sate Ayam
Paha Ayam Panggang (Kulit Dimakan),135,8.45,0.0,13.67,0.67,65.0,75.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/paha-ayam-panggang-(kulit-dimakan),Sate Ayam
Sayap Ayam dengan Kulit Panggang atau Goreng (Kulit/Lapisan Dimakan),137,9.16,4.64,8.45,1.51,23.0,113.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/sayap-ayam-dengan-kulit-panggang-atau-goreng-(kulit-lapisan-dimakan),Sate Ayam
"Ayam atau Kalkun dan Sayuran dengan Kecap Kedelai (Termasuk Wortel, Brokoli, dan/atau Sayur Berdaun Hijau Tua, tanpa Kentang, Campuran)",180,8.59,9.28,15.86,3.76,87.0,404.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/ayam-atau-kalkun-dan-sayuran-dengan-kecap-kedelai-(termasuk-wortel-brokoli-dan-atau-sayur-berdaun-hijau-tua-tanpa-kentang-campuran),Sate Ayam
Telur Gulung dengan Ayam atau Kalkun,103,5.5,9.31,3.96,1.23,30.0,271.0,0.8,0.99,https://www.fatsecret.co.id/kalori-gizi/umum/telur-gulung-dengan-ayam-atau-kalkun,Sate Ayam
Spageti dengan Saus Tomat dan Ayam atau Kalkun,310,5.58,49.43,14.41,0.18,0.0,232.0,1.8,0.56,https://www.fatsecret.co.id/kalori-gizi/umum/spageti-dengan-saus-tomat-dan-ayam-atau-kalkun,Sate Ayam
"Salad Hijau Ayam atau Kalkun (Ayam dan/atau Kalkun, Tomat dan/atau Wortel, Sayuran Lainnya)",58,1.13,2.13,9.49,0.0,100.0,288.0,0.7,0.98,https://www.fatsecret.co.id/kalori-gizi/umum/salad-hijau-ayam-atau-kalkun-(ayam-dan-atau-kalkun-tomat-dan-atau-wortel-sayuran-lainnya),Sate Ayam
"Daging dan Kulit Sayap Ayam (Ayam Pedaging, Dipanggang, Dimasak)",99,6.62,0.0,9.13,1.51,23.0,113.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/daging-dan-kulit-sayap-ayam-(ayam-pedaging-dipanggang-dimasak),Sate Ayam
Daging Dada Ayam (Ayam Pedaging),110,1.24,0.0,23.09,0.0,83.0,393.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/daging-dada-ayam-(ayam-pedaging),Sate Ayam
Daging Paha dan Kulit Ayam (Ayam Pedaging),118,6.34,0.0,14.07,3.76,87.0,404.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/daging-paha-dan-kulit-ayam-(ayam-pedaging),Sate Ayam
Dada Ayam,195,7.72,0.0,29.55,2.17,83.0,393.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/dada-ayam,Sate Ayam
Ayam Masak Merah,131,4.31,7.53,16.01,3.76,87.0,404.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/ayam-masak-merah,Sate Ayam
Ayam (Kulit tidak Dimakan),188,7.35,0.0,28.69,3.76,87.0,404.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/ayam-(kulit-tidak-dimakan),Sate Ayam
Nasi Goreng Spesial,230,13.0,22.0,7.0,1.14,52.0,415.0,0.7,0.76,https://www.fatsecret.co.id/kalori-gizi/solaria/nasi-goreng-spesial/100g,Nasi Goreng
Nasi Goreng,680,13.0,113.0,28.0,1.14,52.0,415.0,0.7,0.76,https://www.fatsecret.co.id/kalori-gizi/bakmi-gm/nasi-goreng/1-porsi,Nasi Goreng
Diet Nasi Goreng Kampung Komplit,486,14.0,48.0,42.0,1.14,52.0,415.0,0.7,0.76,https://www.fatsecret.co.id/kalori-gizi/yellowfit/diet-nasi-goreng-kampung-komplit/1-portion,Nasi Goreng
Nasi Goreng Udang,321,11.6,41.88,10.95,1.14,52.0,415.0,0.7,0.76,https://www.fatsecret.co.id/kalori-gizi/umum/nasi-goreng-udang,Nasi Goreng
Nasi Goreng Kampung Brown Rice,332,16.0,30.0,19.0,0.18,0.0,301.0,1.8,0.35,https://www.fatsecret.co.id/kalori-gizi/the-good-habit/nasi-goreng-kampung-brown-rice/1-porsi,Nasi Goreng
Tori Aburi With Garlic Fried Rice And Assorted Tempura,450,14.0,46.0,34.0,1.14,52.0,415.0,0.7,0.76,https://www.fatsecret.co.id/kalori-gizi/healthy-go/tori-aburi-with-garlic-fried-rice-and-assorted-tempura/1-porsi,Nasi Goreng
Nasi Goreng Babi,335,12.87,41.94,11.94,1.14,52.0,415.0,0.7,0.76,https://www.fatsecret.co.id/kalori-gizi/umum/nasi-goreng-babi,Nasi Goreng
Nasi Goreng Smoked Chicken Reguler,830,27.0,116.0,29.0,1.14,52.0,415.0,0.7,0.76,https://www.fatsecret.co.id/kalori-gizi/bakmi-gm/nasi-goreng-smoked-chicken-reguler/1-serving,Nasi Goreng
Bumbu Nasi Goreng,30,1.5,4.0,1.0,1.14,52.0,415.0,0.7,0.76,https://www.fatsecret.co.id/kalori-gizi/uleg/bumbu-nasi-goreng/1-bungkus,Nasi Goreng
Sajiku Nasi Goreng Super Pedas,15,0.0,2.0,1.0,1.14,52.0,415.0,0.7,0.76,https://www.fatsecret.co.id/kalori-gizi/ajinomoto/sajiku-nasi-goreng-super-pedas/1-porsi,Nasi Goreng
Nasi Goreng Ayam Cabe Garam,288,15.5,16.4,20.5,1.14,52.0,415.0,0.7,0.76,https://www.fatsecret.co.id/kalori-gizi/shine-cake/nasi-goreng-ayam-cabe-garam/1-porsi,Nasi Goreng
Fried Rice with Chicken Slice,430,10.0,50.0,34.0,1.14,52.0,415.0,0.7,0.76,https://www.fatsecret.co.id/kalori-gizi/fiesta/fried-rice-with-chicken-slice/1-porsi,Nasi Goreng
Nasindo Nasi Goreng,140,3.0,26.0,1.0,1.14,52.0,415.0,0.7,0.76,https://www.fatsecret.co.id/kalori-gizi/nasindo/nasindo-nasi-goreng/1-porsi,Nasi Goreng
Nasi Goreng Soto,10,0.0,2.0,0.0,1.14,52.0,415.0,0.7,0.76,https://www.fatsecret.co.id/kalori-gizi/royco/nasi-goreng-soto/1-porsi,Nasi Goreng
Bumbu Nasi Goreng Cabe Hijau,10,0.0,2.0,0.0,1.14,52.0,415.0,0.7,0.76,https://www.fatsecret.co.id/kalori-gizi/royco/bumbu-nasi-goreng-cabe-hijau/1-porsi,Nasi Goreng
Klean Fried Rice (Brown Rice),506,14.0,56.0,37.0,0.0,0.0,0.0,0.0,0.0,https://www.fatsecret.co.id/Diary.aspx,Nasi Goreng
Ayam Taliwang With Nasi Goreng Bali,440,12.0,50.0,33.0,1.14,52.0,415.0,0.7,0.76,https://www.fatsecret.co.id/kalori-gizi/yellowfit/ayam-taliwang-with-nasi-goreng-bali/1-porsi,Nasi Goreng
Balinese Fried Rice,501,19.0,43.0,40.0,1.14,52.0,415.0,0.7,0.76,https://www.fatsecret.co.id/kalori-gizi/klean-bowl/balinese-fried-rice/1-porsi,Nasi Goreng
Tom Yum Chicken with Pineapple Fried Rice + Thai Basil Spring Roll,440,13.0,46.0,34.0,1.14,52.0,415.0,0.7,0.76,https://www.fatsecret.co.id/kalori-gizi/healthy-go/tom-yum-chicken-with-pineapple-fried-rice-thai-basil-spring-roll/1-serving,Nasi Goreng
Shirataki Nasi Goreng Cakalang,292,7.6,26.31,19.21,1.14,52.0,415.0,0.7,0.76,https://www.fatsecret.co.id/kalori-gizi/mini-calore/shirataki-nasi-goreng-cakalang/1-porsi,Nasi Goreng
Shirataki Nasi Goreng Ikan Asin,310,8.81,26.31,21.01,1.14,52.0,415.0,0.7,0.76,https://www.fatsecret.co.id/kalori-gizi/mini-calore/shirataki-nasi-goreng-ikan-asin/1-serving,Nasi Goreng
Bumbu Nasi Goreng Soto,10,0.0,2.0,0.0,1.14,52.0,415.0,0.7,0.76,https://www.fatsecret.co.id/kalori-gizi/royco/bumbu-nasi-goreng-soto/1-porsi,Nasi Goreng
Dory Sambal Embe with Nasi Goreng Bali + Tempe Betutu,469,13.0,47.0,41.0,1.14,52.0,415.0,0.7,0.76,https://www.fatsecret.co.id/kalori-gizi/yellowfit/dory-sambal-embe-with-nasi-goreng-bali-tempe-betutu/1-porsi,Nasi Goreng
Nasi Goreng Tomyum with Grilled Prawn,379,7.0,43.0,36.0,1.14,52.0,415.0,0.7,0.76,https://www.fatsecret.co.id/kalori-gizi/fit-solution/nasi-goreng-tomyum-with-grilled-prawn/1-porsi,Nasi Goreng
Shirataki Nasi Goreng Kecombrang,305,8.38,27.42,19.78,1.14,52.0,415.0,0.7,0.76,https://www.fatsecret.co.id/kalori-gizi/mini-calore/shirataki-nasi-goreng-kecombrang/1-porsi,Nasi Goreng
Creamy Tongseng Chicken with Beetroot Fried Rice + Gulai Tofu,488,17.0,49.0,34.0,1.14,52.0,415.0,0.7,0.76,https://www.fatsecret.co.id/kalori-gizi/healthy-go/creamy-tongseng-chicken-with-beetroot-fried-rice-gulai-tofu/1-porsi-1-kotak,Nasi Goreng
Shirataki Nasi Goreng Smoked Brisket,513,22.0,34.0,44.0,1.14,52.0,415.0,0.7,0.76,https://www.fatsecret.co.id/kalori-gizi/mini-calore/shirataki-nasi-goreng-smoked-brisket/1-porsi,Nasi Goreng
