nama,kalori,lemak,karbo,protein,lemak_jenuh,kolesterol_mg,sodium_mg,serat_g,gula_g,url,keyword
Daging Rusa Besar,111,1.45,0.0,22.95,10.96,0.0,525.0,4.4,4.12,https://www.fatsecret.co.id/kalori-gizi/umum/daging-rusa-besar,Daging
Dendeng Daging Sapi,410,25.6,11.0,33.2,2.17,10.0,443.0,0.4,1.8,https://www.fatsecret.co.id/kalori-gizi/umum/dendeng-daging-sapi,Daging
Salami Daging Sapi,59,5.11,0.44,2.9,7.73,87.0,384.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/salami-daging-sapi,Daging
"Taco Lembut dengan Daging Sapi, Keju, Selada, Tomat dan Krim Asam",304,16.33,23.91,14.66,2.38,28.0,202.0,1.4,0.98,https://www.fatsecret.co.id/kalori-gizi/umum/taco-lembut-dengan-daging-sapi-keju-selada-tomat-dan-krim-asam,Daging
Telur Gulung dengan Daging Sapi dan / atau Daging Babi,113,6.2,9.16,5.0,1.23,30.0,271.0,0.8,0.99,https://www.fatsecret.co.id/kalori-gizi/umum/telur-gulung-dengan-daging-sapi-dan-atau-daging-babi,Daging
Daging Sapi Cincang,470,14.0,70.0,17.0,7.73,87.0,384.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/yummy-choice/daging-sapi-cincang/1-porsi,Daging
Potongan Daging Domba (Hanya Daging yang Dimakan),215,10.48,0.0,28.17,7.67,68.0,281.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/potongan-daging-domba-(hanya-daging-yang-dimakan),Daging
"Daging Sapi Top Sirloin (Diiris Hingga 0.3 cm Lemak, Kualitas Menengah)",201,12.71,0.0,20.3,7.73,87.0,384.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/daging-sapi-top-sirloin-(diiris-hingga-03-cm-lemak-kualitas-menengah),Daging
Pizza dengan Daging dan Sayuran,276,12.61,29.61,10.97,4.3,21.0,462.0,1.6,3.06,https://www.fatsecret.co.id/kalori-gizi/umum/pizza-dengan-daging-dan-sayuran,Daging
Daging Domba,292,20.77,0.0,24.32,8.76,96.0,394.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/daging-domba,Daging
Steak Daging Babi atau Potongan Daging,248,14.25,0.0,28.0,6.17,90.0,384.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/umum/steak-daging-babi-atau-potongan-daging,Daging
Pasta tanpa Daging dengan Saus Tomat,206,1.17,41.56,7.56,0.18,0.0,232.0,1.8,0.56,https://www.fatsecret.co.id/kalori-gizi/umum/pasta-tanpa-daging-dengan-saus-tomat,Daging
Daging Analog Cincang,150,0.0,15.0,21.0,0.0,0.0,0.0,0.0,0.0,https://www.fatsecret.co.id/kalori-gizi/proteina/daging-analog-cincang/1-porsi,Daging
Gulai Daging Sapi dengan Mie,366,14.42,27.46,30.1,0.44,1.0,226.0,1.7,1.93,https://www.fatsecret.co.id/kalori-gizi/umum/gulai-daging-sapi-dengan-mie,Daging
